name,sex,bodymass,wingspan,fat_mass,order,wingarea,muscle_mass
Carduelis carduelis,NA,0.0167,0.248,0.005511,1,0.00921,0.002839
Carduelis citrinella,NA,0.012,0.245,0.00396,1,0.00739,0.00204
Chloris chloris,NA,0.0237,0.27,0.007821,1,0.01,0.0040290000000000005
Coccothraustes coccothraustes,NA,0.042,0.32,0.01386,1,0.0148,0.007140000000000001
Fringilla coelebs,NA,0.0212,0.285,0.0069960000000000005,1,0.0102,0.0036040000000000004
Fringilla montifringilla,NA,0.0251,0.281,0.008283,1,0.0123,0.004267000000000001
Linaria cannabina,NA,0.0158,0.248,0.005214000000000001,1,0.00961,0.0026860000000000005
Loxia curvirostra,NA,0.0476,0.319,0.015708000000000003,1,0.0167,0.008092000000000002
Pyrrhula pyrrhula,NA,0.0214,0.255,0.007062,1,0.00948,0.003638
Serinus serinus,NA,0.008400000000000001,0.221,0.0027720000000000006,1,0.00731,0.0014280000000000002
Spinus spinus,NA,0.011800000000000001,0.214,0.0038940000000000008,1,0.0068,0.0020060000000000004
Delichon urbicum,NA,0.0144,0.292,0.004752,1,0.0092,0.002448
Hirundo rustica,NA,0.0177,0.33,0.005841000000000001,1,0.01262,0.0030090000000000004
Riparia riparia,NA,0.0155,0.314,0.005115000000000001,1,0.0119,0.002635
Lanius collurio,NA,0.031,0.286,0.010230000000000001,1,0.0182,0.00527
Lanius excubitor,NA,0.0505,0.355,0.016665000000000003,1,0.021,0.008585
Lanius senator,NA,0.0261,0.314,0.0086130000000000009,1,0.0144,0.004437000000000001
Anthus pratensis,NA,0.018,0.259,0.00594,1,0.00968,0.00306
Anthus trivialis,NA,0.0207,0.286,0.006831,1,0.0125,0.003519
Motacilla alba,NA,0.022,0.283,0.00726,1,0.0132,0.00374
Motacilla cinerea,NA,0.016,0.252,0.00528,1,0.0092,0.00272
Motacilla flava,NA,0.0165,0.25,0.005445,1,0.0101,0.002805
Erithacus rubecula,NA,0.0178,0.227,0.005874,1,0.0088,0.003026
Ficedula hypoleuca,NA,0.0125,0.244,0.004125,1,0.0091,0.002125
Luscinia megarhynchos,NA,0.0171,0.255,0.0056430000000000004,1,0.01,0.0029070000000000003
Luscinia svecica,NA,0.0143,0.214,0.004719,1,0.00789,0.002431
Monticola saxatilis,NA,0.0475,0.355,0.015675,1,0.016,0.008075
Monticola solitarius,NA,0.0628,0.386,0.020724,1,0.0236,0.010676
Muscicapa striata,NA,0.0144,0.267,0.004752,1,0.0119,0.002448
Phoenicurus ochruros,NA,0.017,0.27,0.00561,1,0.01224,0.00289
Phoenicurus phoenicurus,NA,0.013,0.256,0.00429,1,0.0091,0.00221
Oriolus oriolus,NA,0.072,0.47,0.02376,1,0.0274,0.01224
Cyanistes caeruleus,NA,0.011,0.214,0.00363,1,0.0066,0.00187
Lophophanes cristatus,NA,0.010199999999999999,0.202,0.0033659999999999996,1,0.00729,0.0017339999999999999
Parus major,NA,0.0215,0.233,0.007095,1,0.0102,0.003655
Poecile palustris,NA,0.0114,0.205,0.003762,1,0.0068,0.0019380000000000003
Passer domesticus,NA,0.03,0.252,0.0099,1,0.0101,0.0051
Passer montanus,NA,0.0152,0.218,0.0050160000000000005,1,0.0076,0.0025840000000000004
Petronia petronia,NA,0.025,0.284,0.00825,1,0.01,0.00425
Phylloscopus bonelli,NA,0.0077,0.191,0.0025410000000000003,1,0.0063,0.001309
Phylloscopus collybita,NA,0.0053,0.174,0.0017490000000000001,1,0.00482,9.010000000000001e-4
Prunella modularis,NA,0.018,0.22,0.00594,1,0.00801,0.00306
Regulus regulus,NA,0.0038,0.143,0.0012540000000000001,1,0.00322,6.460000000000001e-4
Sitta europaea,NA,0.0211,0.274,0.0069630000000000004,1,0.01327,0.0035870000000000003
Sturnus vulgaris,NA,0.0795,0.391,0.026235,1,0.0192,0.013515000000000001
Curruca communis,NA,0.018699999999999998,0.225,0.006170999999999999,1,0.00871,0.003179
Sylvia atricapilla,NA,0.016300000000000002,0.238,0.005379000000000001,1,0.00889,0.0027710000000000005
Sylvia borin,NA,0.0158,0.236,0.005214000000000001,1,0.00749,0.0026860000000000005
Tichodroma muraria,NA,0.015,0.301,0.00495,1,0.0174,0.00255
Troglodytes troglodytes,NA,0.0101,0.169,0.003333,1,0.00414,0.001717
Turdus iliacus,NA,0.056,0.371,0.01848,1,0.018,0.00952
