name,sex,bodymass,wingspan,fat_mass,order,wingarea,muscle_mass,range,body_mass_out,fat_mass_out,muscle_mass_out,start_min_speed,end_min_speed
Aythya nyroca,NA,0.512,0.68,0.16896,2,0.0512,0.08704,5212.81171211426,0.2812804751065148,-0,0.08704,15.197347327509178,12.448386783785638
Branta bernicla,NA,1.273,1.19,0.42008999999999996,2,0.1388,0.21641,7080.755908965415,0.6993823575718856,-0,0.21641,15.565658763685573,12.749534662795098
Branta canadensis,NA,5.662,1.5,1.86846,2,0.282,0.9625400000000001,5152.713192438205,3.1087234509826756,-0,0.9625400000000001,22.8060742530547,18.679183709463395
Branta leucopsis,NA,1.15,1.08,0.3795,2,0.115,0.1955,6659.553773196096,0.6317092174526019,-0,0.1955,15.79470669492867,12.936651435362066
Bucephala albeola,NA,0.377,0.59,0.12441,2,0.0412,0.06409000000000001,4843.206110910519,0.2070813051957496,-0,0.06409000000000001,14.732096263781044,12.06676150403121
Bucephala clangula,NA,0.622,0.7,0.20526,2,0.0516,0.10574,5185.426354665938,0.34171683434022593,-0,0.10574,15.983091540495202,13.092230958751026
Clangula hyemalis,NA,1.038,0.76,0.34254,2,0.055,0.17646,5046.549176943653,0.5702493767106116,-0,0.17646,18.19599189794527,14.905376279869678
Cygnus columbianus,NA,5.943,2.04,1.96119,2,0.4156,1.01031,7495.39511548592,3.264743648783307,-0,1.01031,19.874515070123298,16.278830579223964
Cygnus cygnus,NA,5.925,2.3,1.95525,2,0.3377,1.00725,9790.271337523925,3.2557188580349603,-0,1.00725,18.698568591713286,15.316151088447926
Cygnus olor,NA,11.602,2.4,3.82866,2,0.6808,1.9723400000000002,6658.794511506817,6.372894465739801,-0,1.9723400000000002,22.903233557271427,18.76011711987346
Mareca penelope,NA,0.83,0.855,0.2739,2,0.0664,0.1411,6080.596872582421,0.4559100873273833,-0,0.1411,15.922461225758221,13.04136241974517
Mareca strepera,NA,0.8239,0.805,0.271887,2,0.07871,0.140063,5133.898610886314,0.4525645389584114,-0,0.140063,16.369179837792036,13.407857409843134
Melanitta fusca,NA,1.578,0.967,0.5207400000000001,2,0.101,0.26826000000000005,5320.935405920068,0.866644319455734,-0,0.26826000000000005,18.54966883478359,15.193376530425676
Melanitta nigra,NA,0.87,0.85,0.2871,2,0.0679,0.1479,5893.60009747156,0.47810582751068575,-0,0.1479,16.221870176243822,13.288802923570186
Mergellus albellus,NA,0.495,0.625,0.16335,2,0.0431,0.08415,4888.914960760812,0.27185582085498294,-0,0.08415,15.674422132325095,12.838108813635532
Mergus merganser,NA,1.47,0.955,0.48510000000000003,2,0.0853,0.2499,5685.914217314344,0.8073488236178117,-0,0.2499,18.229693166212442,14.93110812105481
Mergus serrator,NA,0.818,0.886,0.26994,2,0.0589,0.13906,6724.357988563144,0.4494043232863305,-0,0.13906,15.565643492044192,12.749635378102667
Oxyura jamaicensis,NA,0.635,0.58,0.20955000000000001,2,0.0394,0.10795,4155.0322658543555,0.348767218266124,-0,0.10795,17.68038647984043,14.48254403624426
Spatula clypeata,NA,0.633,0.798,0.20889000000000002,2,0.0614,0.10761000000000001,5997.3869871403285,0.3478467441507841,-0,0.10761000000000001,15.057310464219265,12.334390432290604
Spatula discors,NA,0.332,0.64,0.10956,2,0.037,0.056440000000000004,5944.838577008264,0.18244172461965963,-0,0.056440000000000004,13.557832916001177,11.105912503224294
Spatula querquedula,NA,0.327,0.654,0.10791,2,0.0399,0.05559000000000001,6006.825014555877,0.17966217425764644,-0,0.05559000000000001,13.344229878785452,10.9302417906255
Apus apus,NA,0.0362,0.42,0.011946000000000002,2,0.0165,0.006154000000000001,5942.23733577908,0.019892500723017764,-0,0.006154000000000001,7.992550271939218,6.546656113188192
Chaetura pelagica,NA,0.0173,0.32,0.005709,2,0.0104,0.002941,5092.973843637376,0.009507036234930513,-0,0.002941,7.158039650708065,5.863240364190016
Upupa epops,NA,0.091,0.477,0.03003,2,0.0366,0.015470000000000001,4855.424100627228,0.04998976060173793,-0,0.015470000000000001,10.19909949214227,8.353558986757333
Caprimulgus europaeus,NA,0.092,0.569,0.03036,2,0.0398,0.01564,6109.712962464432,0.05055841266687183,-0,0.01564,9.372335374273776,7.677056225801169
Chordeiles minor,NA,0.07529999999999999,0.584,0.024849,2,0.03495,0.012801,6710.1714097554095,0.04138173058043272,-0,0.012801,8.653372807381068,7.088061171466635
Alca torda,NA,0.78,0.681,0.2574,2,0.0382,0.13260000000000002,5216.539518219742,0.4285175747150658,-0,0.13260000000000002,17.475141763881496,14.314700268688235
Alle alle,NA,0.0912,0.387,0.030096,2,0.0167,0.015504000000000002,4816.841488023328,0.050113481063915465,-0,0.015504000000000002,11.331398411678144,9.282011486527123
Fratercula arctica,NA,0.272,0.564,0.08976,2,0.0345,0.04624,5230.72210295629,0.1494557077494445,-0,0.04624,13.5135636340429,11.069538513936498
Uria aalge,NA,1.01,0.702,0.33330000000000004,2,0.0424,0.17170000000000002,4911.449767463894,0.5547466068010587,-0,0.17170000000000002,18.760885617069544,15.367265396634142
