Species_original,Sex,Adult_Juvenile,BirdTree_WJSpecID,Species_BirdTree,Species_IOC13.1,Order_IOC13.1,Family_IOC13.1,English.name_IOC13.1,Multiling_IOC13.1_Japanese,N_studies,body.mass_g,wingspan_m,wing.area_m2,ref,def_span,def_area
Accipiter gentilis,F,NA,4767,Accipiter gentilis,Accipiter gentilis,ACCIPITRIFORMES,Accipitridae,Northern Goshawk,オオタカ,2,1370,1.5,0.2004,Viscor 1987,?-?,?-?
Accipiter gentilis,M,NA,4767,Accipiter gentilis,Accipiter gentilis,ACCIPITRIFORMES,Accipitridae,Northern Goshawk,オオタカ,2,778,1.05,0.13985,Viscor 1987,?-?,?-?
Accipiter nisus,F,NA,4753,Accipiter nisus,Accipiter nisus,ACCIPITRIFORMES,Accipitridae,Eurasian Sparrowhawk,ハイタカ,2,221,0.75,0.0822,Viscor 1987,?-?,?-?
Accipiter nisus,M,NA,4753,Accipiter nisus,Accipiter nisus,ACCIPITRIFORMES,Accipitridae,Eurasian Sparrowhawk,ハイタカ,2,136,0.622,0.053,Viscor 1987,?-?,?-?
Accipiter striatus,NA,NA,4755,Accipiter striatus,Accipiter striatus,ACCIPITRIFORMES,Accipitridae,Sharp-shinned Hawk,アシボソハイタカ,2,134.3,0.533,0.0523,Viscor 1987,?-?,?-?
Aguila chrysaetos,NA,NA,4864,Aquila chrysaetos,Aquila chrysaetos,ACCIPITRIFORMES,Accipitridae,Golden Eagle,イヌワシ,1,3712,2.121,0.5382,Viscor 1987,?-?,?-?
Hieraaetus fasciatus,NA,NA,4869,Aquila fasciatus,Aquila fasciata,ACCIPITRIFORMES,Accipitridae,Bonelli's Eagle,ボネリークマタカ,2,2060,1.552,0.3172,Viscor 1987,?-?,?-?
Buteo buteo,NA,NA,4826,Buteo buteo,Buteo buteo,ACCIPITRIFORMES,Accipitridae,Common Buzzard,ヨーロッパノスリ,7,1027,1.322,0.2691,Viscor 1987,?-?,?-?
Buteo jamaiciensis,NA,NA,4824,Buteo jamaicensis,Buteo jamaicensis,ACCIPITRIFORMES,Accipitridae,Red-tailed Hawk,アカオノスリ,1,1091,1.22,0.2086,Viscor 1987,?-?,?-?
Buteo lagopus,NA,NA,4840,Buteo lagopus,Buteo lagopus,ACCIPITRIFORMES,Accipitridae,Rough-legged Buzzard,ケアシノスリ,4,1110,1.41,0.2592,Viscor 1987,?-?,?-?
Buteo lineatus,NA,NA,4808,Buteo lineatus,Buteo lineatus,ACCIPITRIFORMES,Accipitridae,Red-shouldered Hawk,カタアカノスリ,2,804,1.016,0.1656,Viscor 1987,?-?,?-?
Buteo platypterus,NA,NA,4810,Buteo platypterus,Buteo platypterus,ACCIPITRIFORMES,Accipitridae,Broad-winged Hawk,ハネビロノスリ,3,376,0.838,0.1012,Viscor 1987,?-?,?-?
Circaetus gallicus,NA,NA,4659,Circaetus gallicus,Circaetus gallicus,ACCIPITRIFORMES,Accipitridae,Short-toed Snake Eagle,チュウヒワシ,4,1655,1.81,0.4121,Viscor 1987,?-?,?-?
Circus aeruginosus,NA,NA,4685,Circus aeruginosus,Circus aeruginosus,ACCIPITRIFORMES,Accipitridae,Western Marsh Harrier,ヨーロッパチュウヒ,5,680,1.345,0.2264,Viscor 1987,?-?,?-?
Circus cyaneus,F,NA,4696,Circus cyaneus,Circus cyaneus,ACCIPITRIFORMES,Accipitridae,Hen Harrier,ハイイロチュウヒ,1,471.5,1.167,0.1759,Viscor 1987,?-?,?-?
Circus cyaneus,M,NA,4696,Circus cyaneus,Circus cyaneus,ACCIPITRIFORMES,Accipitridae,Hen Harrier,ハイイロチュウヒ,1,331,1.044,0.1406,Viscor 1987,?-?,?-?
Circus hudsonius,F,NA,4696,Circus cyaneus,Circus hudsonius,ACCIPITRIFORMES,Accipitridae,Northern Harrier,アメリカハイイロチュウヒ,1,615,1.1,0.1696,Viscor 1987,?-?,?-?
Circus hudsonius,M,NA,4696,Circus cyaneus,Circus hudsonius,ACCIPITRIFORMES,Accipitridae,Northern Harrier,アメリカハイイロチュウヒ,1,414,1.067,0.1382,Viscor 1987,?-?,?-?
Circus macrurus,NA,NA,4700,Circus macrourus,Circus macrourus,ACCIPITRIFORMES,Accipitridae,Pallid Harrier,ウスハイイロチュウヒ,1,386,1.107,0.1413,Viscor 1987,?-?,?-?
Circus pygargus,NA,NA,4702,Circus pygargus,Circus pygargus,ACCIPITRIFORMES,Accipitridae,Montagu's Harrier,ヒメハイイロチュウヒ,6,236.5,1.101,0.1296,Viscor 1987,?-?,?-?
Geranoatus melanoleucus,NA,NA,4802,Geranoaetus melanoleucus,Geranoaetus melanoleucus,ACCIPITRIFORMES,Accipitridae,Black-chested Buzzard-Eagle,ワシノスリ,1,2123,1.453,0.355,Viscor 1987,?-?,?-?
Gypaetus barbatus,NA,NA,4642,Gypaetus barbatus,Gypaetus barbatus,ACCIPITRIFORMES,Accipitridae,Bearded Vulture,ヒゲワシ,2,5385,2.524,0.7431,Viscor 1987,?-?,?-?
Gyps fulvus,NA,NA,4653,Gyps fulvus,Gyps fulvus,ACCIPITRIFORMES,Accipitridae,Griffon Vulture,シロエリハゲワシ,1,7269,2.557,1.054,Viscor 1987,?-?,?-?
Milvus migrans,NA,NA,4622,Milvus migrans,Milvus migrans,ACCIPITRIFORMES,Accipitridae,Black Kite,トビ,6,889.5,1.408,0.26356,Viscor 1987,?-?,?-?
Milvus milvus,NA,NA,4620,Milvus milvus,Milvus milvus,ACCIPITRIFORMES,Accipitridae,Red Kite,アカトビ,4,927,1.628,0.2902,Viscor 1987,?-?,?-?
Pernis aviporus,NA,NA,4591,Pernis apivorus,Pernis apivorus,ACCIPITRIFORMES,Accipitridae,European Honey Buzzard,ヨーロッパハチクマ,1,615,1.199,0.1894,Viscor 1987,?-?,?-?
Terathopius ecaudatus,NA,NA,4667,Terathopius ecaudatus,Terathopius ecaudatus,ACCIPITRIFORMES,Accipitridae,Bateleur,ダルマワシ,2,2095,1.536,0.3582,Viscor 1987,?-?,?-?
Cathartes aura,NA,NA,5349,Cathartes aura,Cathartes aura,ACCIPITRIFORMES,Cathartidae,Turkey Vulture,ヒメコンドル,3,2409,1.829,0.4356,Viscor 1987,?-?,?-?
Coragyps atratus,NA,NA,5348,Coragyps atratus,Coragyps atratus,ACCIPITRIFORMES,Cathartidae,Black Vulture,クロコンドル,1,1998,1.429,0.3326,Viscor 1987,?-?,?-?
Pandion haliaetus,NA,NA,4562,Pandion haliaetus,Pandion haliaetus,ACCIPITRIFORMES,Pandionidae,Osprey,ミサゴ,6,1105,1.572,0.2921,Viscor 1987,?-?,?-?
